Ml_num,Ml_num,predict,actual,diff,diff_perc
E8012664,E8012664,983518.4,1233000,-249481.625,0.2023
E8024760,E8024760,888352.9,950000,-61647.125,0.0649
E8026226,E8026226,976802.75,989000,-12197.25,0.0123
N7270196,N7270196,1550632.4,1557500,-6867.625,0.0044
N7282122,N7282122,1103508.1,1070000,33508.125,0.0313
N7321544,N7321544,951791.8,955000,-3208.1875,0.0034
S7325458,S7325458,888838.8,870000,18838.8125,0.0217
N7376200,N7376200,1282356.2,1280000,2356.25,0.0018
S7394110,S7394110,833788.3,815000,18788.3125,0.0231
W7403458,W7403458,832823.3,790000,42823.3125,0.0542
W7392382,W7392382,1156911.0,1110000,46911.0,0.0423
W7388096,W7388096,1364752.4,1330000,34752.375,0.0261
W7345970,W7345970,1327061.1,1280000,47061.125,0.0368
S8008332,S8008332,893103.6,885000,8103.625,0.0092
S7350620,S7350620,470587.2,455000,15587.1875,0.0343
N8015852,N8015852,821501.56,825000,-3498.4375,0.0042
N8014290,N8014290,1376081.2,1395000,-18918.75,0.0136
N7403706,N7403706,1661968.0,1578000,83968.0,0.0532
N7400496,N7400496,1324662.4,1280000,44662.375,0.0349
N7390812,N7390812,1474693.8,1465000,9693.75,0.0066
W8013796,W8013796,896006.0,892000,4006.0,0.0045
W8021074,W8021074,943626.06,963300,-19673.9375,0.0204
W7396318,W7396318,904114.25,870000,34114.25,0.0392
W8018516,W8018516,992784.7,975000,17784.6875,0.0182
N7306010,N7306010,815073.3,800000,15073.3125,0.0188
W7381674,W7381674,943508.3,949000,-5491.6875,0.0058
W7060404,W7060404,1243783.4,1200000,43783.375,0.0365
N8018140,N8018140,1183430.5,1407500,-224069.5,0.1592
N7405976,N7405976,1759722.9,1721000,38722.875,0.0225
C7406214,C7406214,2422122.2,2350000,72122.25,0.0307
N7304110,N7304110,1068900.0,1020000,48900.0,0.0479
X7222870,X7222870,1170845.9,1180000,-9154.125,0.0078
W7394486,W7394486,988797.1,980000,8797.125,0.009
E7387868,E7387868,1043713.06,1050000,-6286.9375,0.006
N7379362,N7379362,1242700.6,1250000,-7299.375,0.0058
W7053380,W7053380,633086.2,640000,-6913.8125,0.0108
W7292148,W7292148,2543426.8,2350000,193426.75,0.0823
E8024636,E8024636,780341.75,770005,10336.75,0.0134
E7310188,E7310188,1140890.2,1100000,40890.25,0.0372
E8013312,E8013312,706939.3,912000,-205060.6875,0.2248
